id;datumaanvanggeldigheidverblijfsrecht;datumeindegeldigheidverblijfsrecht;verblijfsrechtnummer;verblijfsrechtomschrijving
1;2024-05-05;2024-05-05;marvelous unless ah;translation furthermore principal
2;2024-05-05;2024-05-05;beautifully;concerning
3;2024-05-05;2024-05-06;bacterium;starchy gah
4;2024-05-05;2024-05-05;continually;gah durian
5;2024-05-05;2024-05-06;lest;whoever croup
6;2024-05-06;2024-05-05;woefully cheerfully phew;demist consequently
7;2024-05-06;2024-05-05;prose heartfelt likely;shakily slop frightening
8;2024-05-05;2024-05-05;bear;while lest
9;2024-05-05;2024-05-06;male mmm;boohoo officially
10;2024-05-06;2024-05-06;ah bravely;eek
