id;adresregelbuitenland_1;adresregelbuitenland_2;adresregelbuitenland_3;datumaanvangadresbuitenland;datuminschrijvinggemeente;datumvestigingnederland;gemeentevaninschrijving;landadresbuitenland;landwaarvandaaningeschreven;omschrijvingvandeaangifteadreshouding
1;ah;quicker during scourge;rectangular;2024-05-05;2024-05-05;2024-05-05;halt;whoa lest huge;haunting now clearance;duh
2;airlift;input broach;wherever whoever oval;2024-05-06;2024-05-06;2024-05-05;aw tall;fooey;unlike;yippee before
3;behaviour;vice to;modulo;2024-05-05;2024-05-05;2024-05-06;excitedly interlock;awesome frantically provision;network until;after sticker shave
4;barring;ultimate once now;unbearably;2024-05-06;2024-05-06;2024-05-05;noxious;considering;amidst;nor tomatillo while
5;soupy;chastity;homely county;2024-05-05;2024-05-05;2024-05-06;even sympathetically always;baby;overspend ha boohoo;whereas
6;incomplete;capital blight;supposing hard-hat;2024-05-05;2024-05-05;2024-05-06;drat;wealthy;unlike consensus apropos;behind miss regarding
7;whoever slouch during;faithfully;praise;2024-05-06;2024-05-05;2024-05-06;eventually about;once;after till;however furthermore inasmuch
8;meaningfully cadet;demist;since to;2024-05-05;2024-05-06;2024-05-06;inasmuch;legislator;athwart gray boo;meanwhile apud even
9;bony;up;mess entertainment;2024-05-06;2024-05-06;2024-05-06;while;noxious;garden;extremely where
10;zinc band;till regarding;cruelly ferociously upon;2024-05-05;2024-05-06;2024-05-05;gleaming until kindly;phooey ouch consequently;in;verge heel
