id;adresbuitenland_1;adresbuitenland_2;adresbuitenland_3;landpostadres
1;nobble ew;urban;pointed massive hence;pushy
2;waiter concerning decision-making;taut;lend questionably;anglicize wowee physically
3;miserably curse;meh how pro;at specify quack;push till duh
4;ouch;tightly bidder;known interpreter;democratize hence lambkin
5;tension;lye instead prove;furthermore;innocently
6;pretty;even balls;jostle;lovable rapidly
7;miserably;where if aha;trigonometry along skyscraper;worriedly astride
8;aw minus broadly;huzzah whereas unless;hm next;athwart
9;beyond;archaeologist;bah aha;likewise solemnly important
10;scorn uh-huh;chaise meanwhile;atop buoyant;hence revolving crayfish
