id;postadrestype;postbusofantwoordnummer;postcodepostadres
1;indict;wherever judo briefly;versus until indeed
2;flock jubilant;beneath;because duh competition
3;why;as;bah bumpy huzzah
4;besides embody;ha ah like;instead unlike awful
5;wherever southeast;biplane;huzzah beautifully cross
6;cordon gust;honorable deer fathom;although
7;soon;boo while;amusing
8;hmph tug grip;partially athwart;banker
9;through;selfishly tenderly;ugh ah furthermore
10;loving actor although;boar meh;zealous cruelly reflecting
