id;adresbinnenland;adresbuitenland;identificatie;naam;rol
1;surprisingly amid;season;than unless;before;jovially
2;loudly fortunately;hence resale;step-grandmother woot yum;through handle hmph;useless on
3;consequently philanthropy;given beyond;carefully selfishly slice;grill rayon shrilly;newsprint potentially excluding
4;reassuringly;even upward taxi;sector waffle;eek versus;furthermore when
5;around;quaint yuck concerning;sticky;alarming warmhearted;elliptical elliptical
6;unexpectedly justly labourer;like;yum;above;supposing or upside-down
7;of palace;legislation alpenhorn;whose;but;powerfully smolt
8;cultivator well-informed unconscious;belief mmm er;jam-packed oddly;pfft;anneal
9;sundae;successfully monthly;tailspin;barren;promptly gracefully solid
10;virtual blah;an instead;wisely woot;anti freak ha;loftily pfft hence
