id;adresbuitenland_1;adresbuitenland_2;adresbuitenland_3;adresbuitenland_4;adresbuitenland_5;adresbuitenland_6;landcorrespondentieadres
1;celebrated;synchronize helpfully;luggage democratize deeply;dominate realistic;into pause;how;pro oh
2;and tidy where;barring above;suppose;ripple although provide;acorn surprisingly;owlishly;ouch
3;so;razz sympathetically;huzzah pish phew;lookout overtrain;repulsive filthy;where furthermore treaty;outfox unaccountably scented
4;tunnel moist verifiable;wry;coin but;dearly;opposition;repeatedly;phew anger phew
5;vitrify;upon;refill always;thoughtful thorough;episode ouch;appellation renew;pfft finally even
6;unnecessarily bitterly;columnist;whereas unto;despite inside;powerfully unimportant oof;whether;phew
7;pasteurise why;vice with;not;till;mmm;yet after because;fiercely pace
8;notable ferry;and counter aw;respond nor tender;judgementally placement as;furthermore straight;once;abaft sometimes
9;cleric plonk;spirit darling;clueless;after;wholly brave pushy;ack wreck properly;ick educated cricketer
10;calm vice;after awe experimentation;larva primary until;lovingly within;pfft;clap;toward
