id;buitenlandseplaatsgeboorte;buitenlandseregiogeboorte;datumgeboorte;gemeentegeboorte;landofgebiedgeboorte;omschrijvinglocatiegeboorte
1;midst er;empowerment blank bemoan;redeploy aid restfully;ouch uh-huh petty;emotional whereas psst;weaponise ack
2;broadly bungalow unnatural;gadzooks pocketbook;keenly;eek terribly;finesse specialist now;why hospitable vastly
3;oof;boohoo uh-huh;whether kitchen whoa;someone ATM lucky;quinoa yowza frenetically;nonstop however hunter
4;tightly lightly huzzah;save;tensely fluffy ram;atop;silky hacksaw;so savory
5;heavily or once;pro;as;huzzah mmm;blah in;supernatural
6;meager;if popularity amid;likewise;interrogate luminous oof;almighty trove;lest
7;provided naturally;tragic;ha except;meh where provided;against;careful
8;bountiful noisily;pointed;disconnect paw;doubtfully papa astonishing;monthly at pill;loading ack
9;recession angry lipstick;need outcome;where;absent ridge alongside;yuck excellent trim;indeed amortise
10;amid oval goodnight;unwilling to;pfft;shallow from;kindly sate charset;gosh hearsay promptly
