id;aanhefaanschrijving;geslachtsnaamaanschrijving;voorlettersaanschrijving;voornamenaanschrijving
1;view owlishly;foolishly intently greedily;accidentally gaseous;ha belabour legitimize
2;hull;computerize;oof;whoever because pseudoscience
3;softly;worth;dissipate;ethnicity evenly rowboat
4;spurt;absentmindedly chromakey;um;past
5;blah inasmuch;comestible revitalization;bah rhyme;while deliberately
6;target;fatally so till;urban SUV;nor
7;mid;which first;boohoo admirable ane;aha aw
8;than;astride fool;furthermore grandios;around transmute
9;miserably;pupa;queasily lest;adventurously jeer yahoo
10;though;elegantly crushing;dimly sun or;delightfully
