id;aanhefaanschrijving;adellijketitelnaamgebruik;geslachtsnaamstamnaamgebruik
1;perspective annually but;across once;proud
2;defect;tackle;dramatic slick inside
3;down;meaty disguised;crib die palatable
4;colorless but;overeat conscious;smoothly
5;widget quota abaft;neighboring diligently notable;clatter
6;transit;impressive communication;kindly
7;locomotive deign;miserably vast;against researches um
8;drat;who;amid quickly adorable
9;shameless;likewise;star
10;following initiative crafty;milky up to;even since
