id;adellijketitelofpredikaat;geslachtsnaam;voornamen;voorvoegselgeslachtsnaam
1;meh distin;plus hake;strictly shoddy;out deeply pitcher
2;harbour co;what;undershirt gah;yet
3;defect eje;thorough;unless dangerous boohoo;um sudden
4;blah yet a;yuck excepting;feed hm below;soggy restoration discipline
5;oof questi;drag;carry separately what;tensely ladybug
6;consequent;grok;loyally powerfully unless;past boo
7;ouch carpe;forgo prestigious attribute;understated rudely;fatherly
8;departure;alongside;perfume till;blah uh-huh ugh
9;aware mini;gripping;gadzooks of;before
10;headline;hm lightly;alteration excitable droopy;jubilant suspension till
