id;buitenlandspersoonsnummer;nationaliteit;redenverkrijging;redenverlies
1;excepting attenuation happily;visitor;than that drat;grotesque over and
2;impish spin;acidly willfully;behind hmph;failure ick while
3;delirious kissingly;demand pristine;as;deafening knowingly
4;bah;barring gee;clear-cut;odd
5;for although chubby;embitter;lest energetically;grandfather nursery yuck
6;unselfish growling;leak;between with;bitter
7;hmph slow off;fondly during;loftily;jaded effective yuck
8;unto inasmuch;faithful;imaginary;blank intelligent
9;redistribute why scared;phooey;um bow;grandpa
10;revascularisation off what;before frank;greens or;promptly
