id;datumafgehandeld;datumeindeproeftijd;datumingelicht;datumuitspraak;datumzitting;geldboete;geldboetevoorwaardelijk;opmerkingen;proeftijd;reden;sanctiesoort;uitspraak;verzuimsoort
1;2024-05-05;2024-05-05;2024-05-05;2024-05-06;2024-05-06;20669.11;kindly with originate;yahoo separately terracotta;exhale devalue;key;energetically firsthand;headbutt commission;arrest quantity
2;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-05;13997.67;uh-huh attic ah;bah commercial;visit cold;mockingly whereas;pace;amongst to amid;recklessly whether geez
3;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-06;32752.61;gee;who phew;gosh;warm;ick;beneficial;when even demur
4;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-05;17907.56;since juggle as;divide however;zowie;bustling drawer mince;including;soon impeccable stunning;wonderful below
5;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-05;17037.15;delectable;evil engine;glamorize;luck jasmine;uh-huh;charming deejay minus;tan avenge supposing
6;2024-05-05;2024-05-06;2024-05-06;2024-05-06;2024-05-05;30232.8;burly furthermore minute;adorable reproachfully;whether mechanically expert;short;diligently um;drat;sweep poorly
7;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-06;16540.88;terribly pungent;once;meh;sheepishly which;slowly black-and-white mediocre;hammock grizzle;glimpse
8;2024-05-05;2024-05-05;2024-05-05;2024-05-05;2024-05-06;5598.76;lightly;mecca oily quaintly;colonise;adept whack beyond;unto;misbehave baby;generously properly
9;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-06;15569.19;hopelessly until generator;cummerbund endive per;summit lovingly beneath;which ray;brr;toll colorful untie;potato lest
10;2024-05-06;2024-05-06;2024-05-06;2024-05-05;2024-05-05;31955.72;stuff notable;beget since ketch;physically competition frenetically;ethical meaningfully chatter;lurch;including;anguished
