id;aanduidinginhoudingvermissing;autoriteitvanafgifte;datumeindegeldigheiddocument;datumingangdocument;datuminhoudingofvermissing;datumuitgifte;reisdocumentnummer;soort
1;meager assembly though;skirmish;once aspirate;broiler lest;incidentally generous;yaw well-to-do if;until torn whenever;instead
2;unless woot failing;forenenst via astride;yellow sweetly;bashfully;within brr utterly;spoon puny cylindrical;fender because through;ick decency
3;yum;whether direct;over;until;maximize;raiment;with stumble;step-father ha fully
4;aw biodegradable;failing idea supposing;mysteriously aw indeed;so;apprehensive exciting;interestingly frugal;parallelogram bleakly yum;heap empower thankfully
5;quaver blah lustrous;supposing stylish;maximise courageously;vaguely concerning;outside;amid;gosh droop than;belabour pish
6;perfect elaborate;concerning fat;baggy bright;cosh;nor chromakey really;quaintly doubtfully yet;whet descry;hungrily wherever whenever
7;yet excepting;assault ick fuss;who offbeat;smoothly;inside toward;blissfully;instrument;sadly
8;reward;show carelessly yowza;helplessly to apud;diligently quicker;oof conference what;tyrannise why;briskly ruddy;clumsy negative
9;as;round;minor;concur;anti gadzooks;gray reporting nor;stuff nor against;gainsay without powerfully
10;under patrol before;abaft whereas warmly;very;royal;boohoo;brr finally play;beautifully prize hand;not councilperson
