id;adresregelbuitenland_1;adresregelbuitenland_2;adresregelbuitenland_3;adresregelbuitenland_4;adresregelbuitenland_5;adresregelbuitenland_6;landofgebiedverblijfadres
1;yahoo needily minus;another adept;yahoo;oof logic;zowie;seriously;after flatter slobber
2;ha conviction;geez thoroughly;consequently;around spec supposing;but less er;naturally;account nautical
3;yet floodplain;eek;amongst how single;consequently unaccountably;phew soil;unfortunately underneath;notch mismatch
4;after what tamper;duh slimy shy;blah;stylish;yum capability parsnip;bouncy figure mellow;yet detention cassock
5;muscatel psst;anti organizing vibrant;athwart till;where;about cheery knowledgeably;resupply often;within
6;previous;and mysteriously old;after;ugh gee opposite;briskly;over inasmuch;head interestingly under
7;easily elope;federation;finally soulful;titillate important;yippee mop;owe rudely;whoever rapidly unripe
8;victoriously anklet;host quarrelsomely;so however;try pfft fondly;once;anti;rapidly brown
9;whereas;noisily;any so;nor oof dim;defendant oddly subtle;wreathe hidden;though
10;meh;pish amidst broadly;um;instil granola;pungent lentil untidy;nor;disloyal
